Id;Tytul;Autor;
A001;Harry Potter i Kamień Filozoficzny;J.K.Rowling;
A002;Harry Potter i Komnata Tajemnic;J.K.Rowling;
A003;Harry Potter i Więzień Azkabanu;J.K.Rowling;
A004;Harry Potter i Czara Ognia;J.K.Rowling;
A005;Harry Potter i Zakon Feniks;J.K.Rowling;
A006;Harry Potter i Książe Półkrwi;J.K.Rowling;
A007;Dziady;Adam Mickiewicz;
A008;Pan Tadeusz;Adam Mickiewicz;
A009;Kordian;Juliusz Słowacki;
A010;Krzyżacy;Henryk Sienkiewicz;
A011;Zemsta;Aleksander Fredro;
A012;Hobbit;J.R.R.Tolkien;
A013;1984;George Orwell;
A014;Folwark Zwierzęcy;George Orwell;
A015;Ferdydurke;Witold Gombrowicz;
A016;Lalka;Bolesław Prus;
A017;Antygona;Sofokles;
A018;Biblia;NULL;
