Id	Daty	Kwota	Wymiar
1	1.02.2018	106162,05	80
2	2.02.2018	62170,5	93
3	3.02.2018	126228,56	37
4	3.02.2018	67086,02	71
5	3.02.2018	111673,44	51
6	3.02.2018	77359,39	19
7	4.02.2018	85677,44	85
8	5.02.2018	53840,57	25
9	5.02.2018	122583,02	81
10	6.02.2018	69393,22	55
11	7.02.2018	72731,83	55
12	7.02.2018	94190,7	75
13	8.02.2018	92357,69	42
14	8.02.2018	109785,97	95
15	8.02.2018	134802,59	12
16	8.02.2018	93951,03	20
17	8.02.2018	63026,73	87
18	9.02.2018	140942,71	58
19	9.02.2018	110750,57	87
20	10.02.2018	89905,63	75
21	11.02.2018	75721,23	23
22	12.02.2018	70967,22	83
23	12.02.2018	66202,29	29
24	12.02.2018	94568,69	61
25	12.02.2018	100977,33	52
26	12.02.2018	120772,48	80
27	13.02.2018	92748,5	95
28	13.02.2018	63253,96	64
29	13.02.2018	60104,6	50
30	13.02.2018	120459,42	73
31	13.02.2018	53288,61	48
32	13.02.2018	70659,22	71
33	13.02.2018	122522,12	58
34	14.02.2018	110751,96	36
35	14.02.2018	73436,79	31
36	15.02.2018	86500,39	62
37	15.02.2018	63546,88	30
38	16.02.2018	109065,89	23
39	16.02.2018	53731,43	72
40	17.02.2018	144616,14	87
41	17.02.2018	140926,08	15
42	17.02.2018	86928,99	47
43	17.02.2018	55442,66	25
44	17.02.2018	107764,18	75
45	17.02.2018	120631,94	25
46	17.02.2018	106368,32	93
47	17.02.2018	112370,9	96
48	18.02.2018	101681,66	26
49	19.02.2018	117968	75
50	19.02.2018	55711,6	27
51	19.02.2018	105008,12	55
52	20.02.2018	102467,59	86
53	20.02.2018	105779,06	66
54	20.02.2018	80133,33	71
55	20.02.2018	99214,84	55
56	20.02.2018	106649,66	80
57	20.02.2018	125101,89	89
58	20.02.2018	105593,56	77
59	21.02.2018	133917,99	54
60	21.02.2018	100930,04	18
61	22.02.2018	96586,97	88
62	22.02.2018	116201,08	25
63	22.02.2018	78305,05	66
64	22.02.2018	56225,99	11
65	23.02.2018	121451,97	50
66	24.02.2018	55495,1	92
67	25.02.2018	107149,25	18
68	25.02.2018	77874,6	85
69	25.02.2018	61444,87	79
70	26.02.2018	51093,66	66
71	26.02.2018	149255,39	40
72	27.02.2018	145032,82	83
73	28.02.2018	94242,36	76
74	1.03.2018	136222,42	49
75	1.03.2018	115509,01	36
76	2.03.2018	61034,71	66
77	3.03.2018	109265,72	75
78	3.03.2018	87692,65	86
79	3.03.2018	65031,28	86
80	3.03.2018	74146,93	93
81	4.03.2018	75284,75	30
82	5.03.2018	93303,01	69
83	6.03.2018	144038,04	92
84	6.03.2018	84872,85	96
85	6.03.2018	67696,4	38
86	6.03.2018	119104,91	100
87	6.03.2018	148857,34	39
88	7.03.2018	118910,8	25
89	8.03.2018	80143,42	84
90	8.03.2018	83717,21	23
91	8.03.2018	73427,1	21
92	8.03.2018	91105,03	69
93	9.03.2018	71519,62	35
94	9.03.2018	82439,8	33
95	9.03.2018	65357,34	37
96	10.03.2018	92456,98	27
97	10.03.2018	105290,16	92
98	10.03.2018	80868,85	83
99	10.03.2018	94657,5	49
100	10.03.2018	106473,71	15
101	10.03.2018	143201,86	26
102	10.03.2018	135235,18	11
103	11.03.2018	73658	19
104	12.03.2018	130124,9	29
105	13.03.2018	56962,51	67
106	13.03.2018	70933	83
107	13.03.2018	116736,26	68
108	13.03.2018	129580,35	60
109	13.03.2018	123148,41	19
110	14.03.2018	145340,86	76
111	14.03.2018	115028,21	26
112	15.03.2018	142530,8	95
113	15.03.2018	132452,77	53
114	15.03.2018	66227,67	34
115	15.03.2018	95624,34	88
116	16.03.2018	127911,72	80
117	16.03.2018	84026,13	22
118	16.03.2018	53011,72	17
119	16.03.2018	56170,76	41
120	17.03.2018	142237,13	91
121	17.03.2018	84154,63	29
122	17.03.2018	51289,98	12
123	17.03.2018	131904,16	70
124	18.03.2018	76911,45	57
125	19.03.2018	98472,26	54
126	20.03.2018	97353,46	68
127	20.03.2018	147127,73	27
128	20.03.2018	94453,1	25
129	20.03.2018	58837,33	99
130	20.03.2018	101487,18	42
131	21.03.2018	51622,76	88
132	22.03.2018	54718,37	24
133	22.03.2018	84974,14	42
134	23.03.2018	52912,98	91
135	23.03.2018	108982,57	21
136	23.03.2018	105596,24	80
137	24.03.2018	149009,61	31
138	24.03.2018	59904,45	20
139	24.03.2018	101984,38	66
140	24.03.2018	132792,19	37
141	25.03.2018	112014,52	42
142	26.03.2018	100955,95	48
143	26.03.2018	69545,41	36
144	26.03.2018	122327,3	88
145	26.03.2018	142372,76	97
146	26.03.2018	60216,06	36
147	26.03.2018	121258,76	43
148	26.03.2018	99016,21	45
149	27.03.2018	113927,82	65
150	28.03.2018	74309,77	19
